1,Pancakes,250,1,https://i.pinimg.com/originals/ab/32/ac/ab32ac5953c00983c93f8fa8c98a68b1.png,Flour;2% Milk;Butter;Eggs,Breakfast
2,Omelette,260,1.1,https://i.pinimg.com/564x/00/b2/38/00b238c6588eb4590229d5588d244db9.jpg,Eggs;Cheddar Cheese,Breakfast
3,French Toast,270,1.2,https://www.pngmart.com/files/5/French-Toast-PNG-Photos.png,Bread;Molasses;,Breakfast
4,Sausage Biscuit ,280,1.3,https://corporate.mcdonalds.com/content/dam/sites/corp/nfl/newsroom/0083_SausageEggMcMuffin.uuid.png,Bread;Pork Chop;Cheddar Cheese,Breakfast
5,Toast with Jam,290,1.4,https://static.vecteezy.com/system/resources/previews/012/896/180/original/toasted-bread-with-strawberry-jam-free-png.png,Bread;Butter;Grapes,Breakfast
6,Fruit Salad,300,1.5,https://static.vecteezy.com/system/resources/previews/025/229/907/original/fresh-fruit-salad-bowl-isolated-on-transparent-background-png.png,Apple;Banana;Grapes;Orange;Pineapple;Cherry;Watermelon;Peach;Strawberry,Breakfast
7,Bacon & Eggs,310,1.6,https://media.istockphoto.com/id/173632365/photo/two-eggs-over-easy-with-bacon-on-white-plate.jpg?s=170667a&w=0&k=20&c=EoTwhH4b4G4K074JuI9G-7CbKiPkECLSdVn0AaY-fTA=,Pork Chop;Eggs,Breakfast
8,Full English Breakfast,320,1.7,https://www.pngitem.com/pimgs/m/230-2309812_english-breakfast-individual-english-breakfast-png-transparent-png.png,Pork Chop;Eggs;Tomato;Potato;Onion;Bread;Butter,Breakfast
9,Waffles,330,1.8,https://i.pinimg.com/736x/cf/c6/aa/cfc6aadbecd613f70e5a3f4dcdf89ffb.jpg,Flour;2% Milk;Butter;Eggs,Breakfast
10,Everything Bagel,340,1.9,https://i.pinimg.com/originals/7a/88/5b/7a885be430d9dd3903c6127615230e55.png,Flour;2% Milk;Olive Oil;Eggs;Black Pepper,Breakfast
11,Cheeseburger,350,2,https://static.vecteezy.com/system/resources/previews/021/952/562/original/tasty-hamburger-on-transparent-background-png.png,Bread;Sirloin;Cheddar Cheese;Tomato;Onion,Lunch
